Bone	Oxygen isotopic composition					
Rib 16	11.10	11.22	11.29	11.49		
Gastralia	11.32	11.40	11.71			
Gastralia	11.60	11.78	12.05			
Dorsal vertebra	10.61	10.88	11.12	11.24	11.43	
Dorsal vertebra	10.92	11.20	11.30	11.62	11.70	
Femur	11.70	11.79	11.91	12.15		
Tibia	11.33	11.41	11.62	12.15	12.30	
Metatarsal	11.32	11.65	11.96	12.15		
Phalange	11.54	11.89	12.04			
Proximal caudal	10.93	11.01	11.08	11.12	11.28	11.37
Mid-caudal	11.35	11.43	11.50	11.57	11.92	
Distal caudal	11.95	12.01	12.25	12.30	12.39	
