NO	NO3
CE1	0.000766912
CE1	0.002201087
CE1	0.000606258
CE1	0.012686243
CE1	0.001893749
CE1	0.008438689
CE1	0.012682999
CE1	0.003640674
CE1	0.022082258
CE1	0.056172581
CE1	0.120364516
CE1	0.069603226
CE1	0.016437097
CE1	0.002806452
CE1	0.030085484
CE1	0.005848387
CE1	0.054274426
CE1	0.010904839
CE1	0.102368634
CE1	0.033158554
CE1	0.004296774
CE1	0.002933883
CE1	0.002393548
CE1	0.00183871
CE1	0.0101
CE1	0.030180645
CE1	0.004303226
CE1	0.000125809
CE1	0.002837056
CE1	0.003458739
CE1	0.017503247
CE1	3.3871E-05
CE1	0.008690931
CE1	0.003145937
CE1	0.001015115
CE1	0.003245514
CE1	0.001029192
CE1	0.001224123
CE1	0.000903232
CE2	0.013682204
CE2	0.004992234
CE2	0.017177677
CE2	0.025798197
CE2	0.290464604
CE2	0.468761294
CE2	0.948077804
CE2	1.281444967
CE2	1.453785498
CE2	1.516885677
CE2	1.520615202
CE2	1.494543529
CE2	1.343210659
CE2	1.196558477
CE2	1.00014073
CE2	0.847219168
CE2	0.689767378
CE2	0.570141738
CE2	0.481140785
CE2	0.308497136
CE2	0.246851713
CE2	0.142807667
CE2	0.123989692
CE2	0.002841146
CE2	0.025406528
CE2	0.003698163
CE2	0.003842082
CE2	0.035856583
CE2	0.00073879
CE2	0.005880349
CE2	0.008644057
CE2	0.0063849
CE3	0.00116917
CE3	0.013190822
CE3	0.320584732
CE3	0.822858973
CE3	1.204946311
CE3	1.416589111
CE3	1.44509122
CE3	1.685684018
CE3	1.782799458
CE3	1.740544798
CE3	1.898037589
CE3	1.804880888
CE3	1.575460641
CE3	1.281192682
CE3	1.043676273
CE3	0.794451503
CE3	0.55479645
CE3	0.376949159
CE3	0.265800065
CE3	0.17224502
CE3	0.131642609
CE3	0.138651053
CE3	0.123071523
CE3	0.08978813
CE3	0.02763615
CE3	0.002240758
CE3	0.003691505
CE3	0.001448745
CE3	0.015219589
CE3	0.001538625
CE3	0.00317724
CE3	0.003078586
CE4	0.003428882
CE4	0.020498312
CE4	0.046141374
CE4	0.2669677
CE4	0.117648426
CE4	0.292588779
CE4	0.173312548
CE4	0.182161169
CE4	0.193628424
CE4	0.248929561
CE4	0.103062238
CE4	0.053018816
CE4	0.035830612
CE4	0.074177947
CE4	0.017601527
CE4	0.026617632
CE4	0.007802135
CE4	0.004039792
CE4	0.00167681
CE4	0.002584826
CE4	0.004729866
CE4	0.002595609
CE4	0.01241289
CE4	0.000699021
CE5	0.005247979
CE5	0.026254735
CE5	0.028402583
CE5	0.011233755
CE5	0.015360101
CE5	0.021311545
CE5	0.023538744
CE5	0.035264639
CE5	0.04956465
CE5	0.02994191
CE5	0.005249537
CE5	0.004542728
CE5	0.015379279
CE5	0.052599757
CE5	0.019694413
CE5	0.032998111
CE5	0.007600952
CE5	0.007202557
CE5	0.005939833
CE5	0.004824307
CE5	0.006524037
CE5	0.005699096
CE5	0.00539143
CE5	0.016066808
CE5	0.010395005
CE5	0.001825256
CE5	0.015086843
CE5	0.010214481
CE5	0.004782421
